,moqual,faqual,admingrade,eduspecneeds,prevgrade,ownschshp,prevqual,displaced,debtor,paidfeetodate,gender,secsemgrade,target,course
481,1,19,126.7,0,141,1,1,1,0,1,0,14.31428571,1,9500
482,3,1,133.8,0,130,0,1,0,0,1,0,0,0,9500
484,1,19,100.6,0,102,1,1,1,0,1,0,12.12857143,1,9500
485,1,37,132.7,0,126,1,1,0,0,1,0,12.2,1,9853
486,38,19,106.6,0,125,0,1,1,0,1,0,10.57142857,0,9670
487,1,19,140.4,0,120,0,1,0,0,1,0,11.75,0,9670
488,37,37,128.3,0,132,1,1,1,0,1,0,14.4775,1,9500
489,38,38,118.6,0,128,1,1,1,0,1,0,13.54285714,1,9500
490,19,1,123.4,0,115,0,1,0,0,1,0,11.875,1,9070
491,37,37,124,0,125,0,1,0,0,1,0,13.33333333,1,9670
492,1,3,121.3,0,137,0,1,1,0,1,0,12.6,1,9500
495,19,37,130,0,130,0,3,0,1,0,0,11,0,9130
496,37,38,120,0,100,0,19,0,0,1,0,0,0,9556
497,1,19,130.4,0,122,0,1,1,0,1,0,12.2,1,9254
498,19,38,118.7,0,126,0,1,0,0,1,0,12.66666667,1,9070
499,38,38,131.5,0,128,0,1,0,0,1,0,12.77125,1,9500
501,38,38,129.1,0,128,0,1,1,0,1,0,14.6,1,9254
503,3,3,130,0,130,0,3,0,0,0,0,0,0,9085
504,37,1,132.8,0,135,1,1,1,0,1,0,11.72142857,1,9500
507,19,1,133.5,0,138,0,1,1,0,1,0,13.66666667,1,9773
508,5,5,146.2,0,150,0,1,0,0,1,0,14,0,9130
509,1,19,115.2,1,125,0,1,0,0,1,0,0,0,9147
511,34,34,101.8,0,120,0,1,0,0,0,0,0,0,8014
512,34,34,100,0,140,0,1,0,0,1,0,11.75,1,9670
513,37,19,121.9,0,100,0,1,0,0,0,0,0,0,9991
514,37,37,120.4,0,140,0,1,0,1,0,0,0,0,8014
515,37,37,120.4,0,140,0,1,0,1,0,0,0,0,9238
516,37,19,148.8,0,120,0,1,0,0,1,0,12.4,1,9003
517,1,1,123,0,138,0,1,1,0,1,0,11.66666667,0,9853
518,34,34,100,0,133.1,0,19,0,0,1,0,11,0,8014
519,37,37,112.1,0,118,0,1,1,0,1,0,10.2,0,9853
520,37,1,126.8,0,135,1,1,1,0,1,0,12.61,1,9500
521,3,19,115.9,0,130,0,1,0,0,1,0,12.6,1,9130
522,3,37,132.5,0,150,0,1,1,0,0,0,13.5,1,9238
523,1,1,132.2,0,149,1,1,1,0,1,0,13,1,9085
524,5,3,183.5,0,180,0,1,1,0,1,0,0,0,9556
525,1,1,136,0,133.1,0,1,0,0,1,1,11,0,9119
527,3,1,114.5,0,145,0,1,1,0,1,1,0,1,171
528,37,37,110.3,0,110,0,1,0,1,0,1,0,0,9147
529,3,3,137.2,0,154,0,1,1,1,1,1,11.75,0,9130
531,19,37,121.8,0,133,0,1,1,0,1,1,0,0,9670
532,4,2,127.3,0,145,0,1,1,0,1,1,11.69,1,9500
533,1,19,120,0,120,0,39,0,1,0,1,0,0,9070
534,4,4,150,0,150,0,39,0,0,1,1,0,1,171
535,3,3,100,0,150,0,1,1,0,1,1,11.28571429,1,9991
536,3,3,150,0,150,0,1,1,0,1,1,0,0,9119
537,3,19,116.9,0,127,0,1,0,0,1,1,12.4,1,9254
538,19,38,140,0,140,0,39,1,0,1,1,13.16666667,1,9003
539,19,1,122.1,0,128,0,1,1,0,1,1,11.33333333,0,9773
540,19,19,160,0,127,0,1,0,0,1,1,15.01818182,1,9500
542,1,19,150,0,150,1,39,0,0,1,1,12.625,1,9003
543,1,1,144.9,0,154,1,1,0,0,1,1,15.18888889,1,9500
549,19,38,116.3,0,125,0,1,1,0,1,1,11,1,9147
550,12,19,122.5,0,126,0,1,1,0,1,1,12,0,9119
551,19,1,115,0,133.1,0,19,1,1,0,1,13.75,0,9773
552,12,12,115,0,115,0,1,0,1,1,1,13.66666667,0,9070
553,1,2,119.8,0,117,0,1,1,0,1,1,0,0,9119
554,1,1,95,0,133.1,0,1,0,0,1,1,0,0,9147
555,3,2,150,0,150,0,39,0,0,1,1,10.85714286,0,9003
557,37,37,144.2,0,161,0,1,1,0,1,1,0,1,171
559,1,3,128.2,0,111,0,1,1,0,1,1,12.5075,1,9500
560,3,38,135.3,0,140,0,42,0,0,1,1,12,1,9003
562,1,1,140.7,0,139,0,1,0,0,1,1,11.33333333,0,9991
563,19,38,130.4,0,132,0,1,1,0,1,1,13.2,1,9130
564,1,1,123.2,0,119,0,6,1,0,1,1,13.625,1,9070
565,19,19,118,0,133.1,0,1,0,0,1,1,14.71428571,1,9670
566,4,1,120,0,133.1,0,19,0,0,1,1,0,0,9003
567,34,36,118.9,0,129,0,1,1,0,1,1,11.33333333,0,9119
568,38,19,117.2,0,128,0,1,0,0,1,1,14.2,1,9085
569,3,4,120,0,120,0,1,0,0,1,1,11.5,1,9003
570,1,1,118.1,0,130,0,1,0,0,1,1,12,1,8014
571,38,37,124.8,0,130,0,1,1,0,1,1,12,0,9147
572,19,3,106.5,0,111,0,1,1,0,1,1,10.8,0,9119
574,19,12,109.3,0,117,0,1,0,0,1,1,0,1,171
575,1,1,120,0,133.1,0,9,1,0,0,1,0,0,9085
576,3,1,137.5,0,149,0,1,0,0,1,1,13.82857143,1,9500
578,37,37,120.4,0,134,0,1,0,0,1,0,11.66666667,1,9238
579,37,37,136.7,0,136,0,1,1,0,1,0,13.625,1,9070
580,34,5,118.5,0,133.1,0,1,1,0,1,0,0,0,8014
581,12,1,133,0,141,0,1,1,0,1,0,12.61428571,1,9500
583,37,38,133,0,148,0,1,1,0,1,0,12.8,1,9147
584,37,37,102,0,102,0,1,0,0,1,0,11.6,1,9254
585,1,19,133.9,0,143,1,1,0,0,1,0,15.2,1,9147
586,38,19,127,0,120,0,1,0,0,1,0,13.2,1,9085
587,38,38,120.4,0,121,1,1,1,0,1,0,12.28571429,1,9773
588,37,37,124.5,0,122,0,1,1,0,1,0,12,1,9254
589,37,1,123.9,0,122,0,1,0,0,1,0,13.825,1,9556
590,19,1,117.8,0,123,0,1,1,0,1,0,14.55555556,1,9670
592,37,1,110,0,110,1,39,0,0,1,0,13.57142857,1,9670
595,37,37,141,0,120,0,3,0,0,1,0,11.54545455,0,9991
596,38,12,111.5,0,133.1,1,1,0,0,0,0,10,0,9853
597,37,1,140,0,143,0,1,0,1,0,0,12.6,0,9853
598,19,37,134.3,1,149,0,1,0,0,1,0,13.77777778,1,9670
599,38,37,125.3,0,133,0,1,1,0,1,0,11.46153846,1,9003
600,19,38,140,0,140,0,3,1,0,1,0,0,0,9130
601,19,38,119.6,0,122,0,1,0,1,0,0,11.6,0,9070
602,1,1,170,0,170,0,40,0,0,1,0,15.74444444,1,9500
603,1,1,150.5,0,120,0,1,0,0,1,0,12.33333333,1,8014
604,1,37,128,0,143,1,1,0,0,1,0,15.8125,1,9500
605,9,1,108.7,0,115,0,1,1,0,0,0,0,0,171
606,19,3,121.6,0,123,1,1,1,1,1,0,0,0,9130
607,38,19,125.3,0,131,1,1,1,0,1,0,12.35571429,1,9500
608,19,38,117.6,0,127,0,1,0,0,1,0,0,0,9085
610,37,37,106.1,0,112,1,1,1,1,1,0,12.57142857,1,9853
611,1,37,139.9,0,150,0,1,1,0,1,0,14.16666667,1,8014
612,1,1,110.8,0,116,0,1,1,0,1,0,11.16666667,1,9070
614,19,37,117.8,0,130,1,1,1,0,1,0,12.35714286,1,9500
615,1,37,127.5,0,144,1,1,1,0,1,0,13.85714286,1,9500
616,37,37,129.7,0,105,1,3,1,0,1,0,10.66666667,1,9238
617,37,37,130.6,0,143,0,1,1,0,1,0,13.78888889,1,9500
618,19,37,126.3,0,137,1,1,1,0,1,0,13.01875,1,9500
620,3,19,105,0,133.1,0,1,1,0,1,0,12.5,1,9773
621,1,38,114.6,0,116,0,1,1,0,1,0,10,0,9147
622,38,38,114.6,0,117,0,1,1,0,1,0,10.25,0,9853
623,38,37,131,0,137,1,1,1,0,1,0,13.73125,1,9500
624,38,37,109,0,116,1,1,0,0,1,0,12.66666667,0,9070
625,19,19,132,0,133.1,0,1,1,0,1,0,10.8,0,9853
626,37,38,130,0,130,0,39,1,0,1,0,11.33333333,1,8014
627,19,37,109.5,0,106,0,1,1,0,1,0,13.81111111,1,9500
628,1,38,115.9,0,125,0,1,1,0,1,0,14.16666667,1,9773
629,19,37,131.6,1,134,0,1,1,0,1,0,12,1,9773
630,19,37,120,0,133.1,1,1,0,0,1,0,12.04285714,1,9500
632,1,19,136.4,0,136,1,1,0,0,1,0,15.5,1,9500
633,38,38,120,0,120,1,1,0,1,1,0,11.7,1,9556
634,37,37,132.6,0,135,1,1,1,0,1,0,14,1,9670
635,37,37,112.9,0,122,1,1,1,0,1,0,12.71428571,1,9238
636,37,37,134.3,0,147,1,1,0,0,1,0,12.62857143,1,9500
638,1,1,117.2,0,121,0,1,0,0,1,0,11.6,1,9238
639,1,1,129.8,0,135,1,1,0,0,1,0,11.83333333,0,9773
640,37,37,158,0,130,0,1,0,1,0,0,0,0,9670
644,38,38,115,0,108,0,1,1,1,0,0,0,0,9773
647,19,19,152.4,0,140,0,3,0,0,1,0,14.83333333,1,9991
648,1,19,110.2,0,120,0,1,0,0,1,0,13.2125,1,9556
649,1,38,113.5,0,117,0,1,1,0,1,0,10.75,1,9670
650,19,1,144.4,0,151,0,1,1,0,1,0,16.42857143,1,9238
652,1,5,100,0,133.1,0,19,0,0,1,0,12.61428571,1,9500
653,38,38,126.3,0,130,1,39,1,0,1,0,11.5,1,9238
654,19,38,115.9,0,125,0,1,0,0,1,0,11,1,9773
657,1,38,112.3,0,121,0,1,0,0,1,0,11.45454545,1,8014
658,1,19,127,0,141,0,1,0,0,1,0,12.4,1,9070
659,19,19,120,0,130,0,1,0,0,1,0,0,0,9003
660,1,3,180,0,180,0,39,0,0,1,0,15.5,1,9003
662,1,19,115.8,0,127,0,1,1,0,1,0,13.66666667,1,9773
663,37,37,136.5,0,126,0,1,1,0,1,0,13.25,1,9670
664,3,3,129,0,143,0,1,1,0,1,1,14.44444444,1,9500
665,3,3,137.6,0,144,1,1,1,0,1,0,16,1,9085
666,37,38,129.5,0,126,0,1,1,1,0,0,11.75,0,9773
667,38,38,129.1,0,140,1,39,1,0,1,0,13.54545455,1,9238
668,1,19,130.2,0,148,0,1,1,0,1,0,0,0,9500
669,19,37,134.3,0,100,0,1,1,0,1,0,13.55473684,1,9500
670,37,1,138.4,0,151,1,1,1,0,1,0,11,1,9238
671,37,38,120,0,120,0,1,1,0,1,0,14.71428571,0,8014
672,1,19,123.5,0,135,1,1,1,0,1,0,11.7375,1,9500
673,19,19,116.1,0,121,0,1,1,0,1,0,13.2,1,9070
674,38,38,110.8,0,116,0,1,1,0,1,0,13.5,1,9254
675,37,37,142.8,0,147,0,1,1,0,1,0,11,0,9853
676,1,19,155.5,0,160,0,1,1,0,1,0,15,1,9070
678,37,37,163.5,0,100,0,19,0,1,0,1,0,0,9773
679,3,3,161.9,0,151,1,1,1,0,1,0,0,1,171
680,19,38,123.3,0,124,0,1,1,0,1,0,10.66666667,1,9254
681,1,1,137.5,0,140,1,39,0,1,1,0,14,1,9238
682,1,1,166.6,0,170,1,1,0,1,0,0,14,0,9085
683,37,37,103.5,0,133.1,0,19,0,0,0,0,0,0,9238
684,37,37,110,0,133.1,0,19,0,0,1,1,11.22222222,1,9003
685,37,37,128.2,0,100,0,1,0,0,1,1,12.8,1,9991
686,37,37,137.7,0,120,0,39,1,0,0,1,11,0,9085
687,38,19,128.8,0,133,0,1,1,0,1,1,12.48125,1,9500
688,37,1,170,0,120,0,1,0,0,1,1,14,1,9991
689,37,37,116.4,0,133.1,0,19,0,1,0,1,0,0,9147
690,37,38,100.9,0,133.1,0,19,0,0,1,1,0,0,9130
691,37,37,136,0,133.1,0,1,0,0,1,1,12.38461538,1,9003
693,38,37,100,0,100,0,1,0,1,0,1,0,0,33
694,2,1,157,0,133.1,0,19,1,0,1,1,15.5,1,9130
695,3,1,152.1,0,143,0,1,1,1,1,1,13.5,0,9147
696,37,37,162.9,0,165,0,1,1,0,1,1,13.66666667,1,8014
698,1,38,140,0,140,0,39,1,0,1,1,11.71428571,1,9003
699,37,38,146.5,0,140,0,1,0,0,1,1,17,0,9119
701,37,19,128,0,133.1,0,19,0,0,1,1,13.66666667,0,9147
702,5,5,190,0,190,0,4,1,0,1,1,12.5,0,9556
703,37,37,133.2,0,120,0,1,1,0,1,1,0,0,9991
704,37,37,124.3,0,100,0,12,0,0,1,1,14.85714286,1,9238
705,37,37,138.1,0,120,1,1,0,0,1,1,13.33333333,0,9991
706,19,1,144.3,0,133.1,0,1,0,0,1,1,12.14285714,1,8014
707,37,37,140,0,150,0,1,0,0,1,1,14.23076923,1,9003
708,1,19,148.3,0,120,0,1,0,0,1,1,15.77777778,1,9254
709,37,11,96,0,133.1,0,1,0,1,0,1,0,0,8014
710,38,38,121.7,0,133.1,0,19,1,0,1,1,0,0,9991
711,37,37,160,0,100,0,1,0,1,0,1,0,0,9119
712,37,37,110.3,0,133.1,0,1,0,0,1,1,11.6,1,9085
713,3,3,129,0,143,0,1,0,0,1,1,13.10571429,1,9500
714,37,37,150,0,120,0,1,0,0,1,1,14.4,1,9085
715,19,37,100,0,161,0,1,0,0,1,1,12,1,8014
716,34,36,107.5,0,133.1,0,9,0,0,1,1,0,0,9130
717,2,1,170,0,140,0,1,0,1,0,1,0,0,9670
720,38,38,140,0,133.1,0,19,0,1,1,1,12,0,33
722,19,38,170,0,156,0,1,1,0,1,1,0,1,171
723,37,37,115.5,0,140,0,1,0,0,0,1,0,0,8014
724,37,26,130,0,130,0,3,0,0,0,1,0,0,9130
725,37,38,140,0,140,0,3,0,0,1,1,16.575,1,9500
726,12,5,126.6,0,140,0,1,0,0,1,1,14.375,1,9670
727,37,37,143.2,0,133.1,0,1,0,0,1,1,0,0,9991
728,19,1,131.4,0,131,0,1,1,0,1,1,0,1,171
730,19,37,118.3,0,120,1,1,0,1,0,1,12,0,9773
731,2,1,140,0,140,0,39,0,0,1,1,11.66666667,1,9003
732,1,19,124.7,0,132,0,1,1,0,1,1,11.6,1,9254
733,19,37,140,0,130,0,1,0,0,1,1,12.75,1,9147
734,37,37,150,0,140,0,1,1,0,1,1,0,0,9130
735,3,3,115.6,0,110,0,1,1,0,1,1,12,1,9670
737,37,37,123.4,0,130,0,1,1,0,1,1,11.33333333,0,9254
739,1,19,117.1,0,158,0,1,1,0,1,1,13,0,9773
740,19,19,113.9,0,124,0,1,1,0,1,1,0,0,9070
741,3,3,128.7,0,136,0,1,0,0,1,1,12.5,1,9254
742,3,3,132.9,0,142,0,1,1,0,1,1,12.4,0,9500
743,1,19,123,0,150,0,1,0,0,1,1,10.33333333,0,9991
744,1,1,129.8,0,120,0,12,1,0,1,1,15,1,9773
745,1,1,156.1,0,149,0,1,1,0,0,1,0,0,9003
746,1,19,120,0,130,0,39,1,1,0,1,11,0,9003
747,38,38,117.2,0,110,0,1,1,0,1,1,11.42857143,1,9085
748,1,1,107,0,133.1,0,6,1,0,1,1,0,0,9670
749,1,1,128.4,0,134,0,1,1,0,1,0,13.94444444,1,9500
750,38,37,123.4,0,130,0,1,1,0,1,0,13.33333333,1,9670
751,37,37,126.7,0,141,1,1,1,1,1,0,14.66666667,1,9070
752,37,37,123,0,123,1,1,1,0,1,0,13.105,1,9500
753,19,37,137.2,0,133.1,0,19,0,1,0,0,0,0,9991
754,37,37,125.9,0,122,1,1,1,0,1,1,12.16666667,1,9070
755,1,19,138,0,132,0,1,1,1,0,1,0,0,171
756,1,1,128.2,0,133.1,0,1,0,1,0,1,12.33333333,0,9670
757,37,2,126.5,0,130,0,1,1,0,0,1,11.36363636,0,9991
758,1,1,112.4,0,111,0,1,1,0,1,1,13,1,9254
759,37,37,109,0,133.1,0,1,1,0,1,0,11.8,1,9147
760,3,3,100,0,125,0,1,0,0,1,1,12.38461538,1,9003
762,37,37,120,0,100,0,19,1,0,1,1,12,1,8014
764,1,1,154,0,150,0,39,0,0,1,1,13,1,8014
767,1,37,100,0,133.1,0,40,0,0,1,0,12.57142857,1,9991
768,37,37,162.5,0,133.1,0,1,0,0,1,1,13.85714286,1,8014
769,19,19,134.1,0,132,0,1,1,0,1,1,14,1,9670
770,1,1,133,0,134,1,1,1,0,1,0,15.14285714,1,9085
771,1,19,119,0,126,0,1,1,0,1,0,0,0,9773
773,38,1,129.4,0,129,0,1,1,0,1,0,12.16666667,1,9238
775,1,1,140,0,140,0,39,1,1,1,0,12,0,9085
776,2,1,162,0,162,0,1,0,0,1,0,15.625,1,9085
777,3,2,131.6,0,148,0,1,1,0,1,0,12.7,0,171
779,1,19,117.4,0,123,1,1,1,0,1,0,13.83333333,1,9773
780,38,38,137.8,0,150,1,1,1,0,1,0,15.5,1,9773
781,1,1,106.7,0,113,0,1,1,1,1,0,10.5,0,9670
782,19,37,156.9,0,152,1,1,0,0,1,0,14.63375,1,9500
784,1,34,124.8,0,130,1,1,1,0,1,0,12.33333333,1,9773
785,1,1,115.1,0,121,0,1,1,0,1,0,12.14285714,1,9238
786,3,3,146.7,0,153,0,1,1,0,1,0,14,1,9070
787,3,1,132.8,0,148,0,1,0,0,1,0,14.53714286,1,9500
788,37,37,159.1,0,143,1,1,0,1,1,0,14,0,9085
789,19,1,137.6,0,147,1,1,1,0,1,0,0,1,171
790,1,19,124,0,138,1,1,0,0,1,0,13.83333333,1,9773
791,3,3,149,0,120,0,1,0,0,0,1,0,0,9500
792,1,40,129.6,0,145,1,1,0,0,1,0,12.42857143,1,9238
793,3,1,110,0,118,0,1,1,0,1,0,13.6,1,9238
794,19,19,116.1,0,121,1,1,0,0,1,0,12.16666667,1,9773
795,38,38,133.3,0,135,1,1,1,0,1,0,14.16666667,1,9773
796,1,1,144.3,0,140,0,1,1,0,1,0,13.22222222,1,9070
797,1,1,133.6,0,145,0,1,1,0,1,0,12.95,1,9500
798,1,37,123.2,0,133,1,1,1,0,1,0,13.66666667,1,9130
801,19,1,110,0,117,0,1,1,1,0,0,0,0,9238
802,19,19,118,0,125,0,1,1,0,1,0,12.2,1,9147
803,38,38,128.4,0,141,0,1,1,0,1,0,14,1,9773
804,1,3,113.6,0,122,0,1,0,0,1,0,14.28571429,1,9853
806,1,38,146.9,0,142,1,1,1,0,1,0,12.16666667,1,9070
808,1,3,129.7,0,143,0,1,1,0,1,0,0,0,9773
810,1,1,109.1,0,115,1,1,1,1,0,0,0,0,9238
811,19,38,107.1,0,112,1,1,1,0,1,0,13.66666667,1,9853
812,19,38,129.2,0,135,1,1,0,0,1,0,13.62777778,1,9500
813,3,4,154.1,0,162,0,1,0,0,1,0,14.14444444,1,9500
814,19,3,147.2,0,143,0,1,0,0,1,0,15,1,9853
817,1,1,120.8,0,125,0,1,1,0,1,0,12.83333333,1,9070
819,34,37,121.3,0,123,0,1,1,0,1,0,12.83333333,1,8014
820,19,19,127,0,142,1,1,1,0,1,0,11.6,1,9147
821,12,19,151.6,0,147,0,1,1,0,1,0,0,1,171
823,19,19,106,0,133.1,1,1,1,0,1,0,13.28571429,1,9238
824,1,1,111.6,0,114,1,1,1,0,1,0,11.5,1,9773
825,1,3,117.3,0,125,0,1,1,0,1,0,14,1,9670
826,1,1,121.4,0,127,0,1,1,0,1,0,13.16666667,0,9853
827,1,3,126.1,0,132,1,1,1,0,1,0,15.33333333,1,9070
828,19,19,137,0,148,0,1,1,0,1,0,14.25,1,9500
829,3,19,120.8,0,139,0,1,0,0,1,0,0,0,9670
830,39,3,128.7,0,136,0,1,1,0,1,0,11,0,9254
831,34,34,118,0,133.1,0,9,0,0,1,0,0,0,9238
833,37,37,160,0,130,0,1,0,0,1,1,10,0,9130
834,37,37,150,0,110,0,1,1,0,1,1,0,0,9119
836,3,3,125.4,1,138,0,1,1,0,1,1,10.75,0,9119
838,3,1,150,0,150,0,39,0,0,0,1,0,0,9130
839,38,1,114.5,0,125,0,1,1,0,1,1,12.4,1,9147
840,3,3,107,0,108,0,1,0,1,0,0,0,0,9147
842,3,34,120,0,133.1,0,1,0,1,0,1,0,0,9130
843,37,38,134.8,0,147,0,1,1,0,1,0,14.01666667,1,9500
844,38,34,133.6,0,143,0,1,1,0,1,0,10.8,1,9238
845,37,37,129,0,115,1,1,1,1,0,0,0,0,171
846,1,1,128.4,0,160,0,1,0,0,1,0,12,1,9991
847,19,19,122.2,0,118,0,1,0,0,1,0,10.25,1,9147
849,1,19,129.9,0,143,1,1,0,0,1,0,14.10625,1,9500
850,3,3,126.2,0,133,0,1,1,0,1,0,12.82375,1,9500
852,19,19,149,0,164,1,1,1,0,1,0,14.16666667,1,9238
853,1,19,120,0,133.1,1,1,0,0,1,1,13.84285714,1,9500
855,1,39,128.1,1,140,0,1,1,0,1,1,0,0,9773
856,1,19,141.7,0,127,0,1,1,0,1,1,13.83333333,0,9238
857,37,1,130,0,133.1,0,12,0,0,1,1,0,0,9003
858,19,37,113.3,0,115,0,1,1,0,1,1,0,0,9119
859,34,38,105.9,0,108,0,1,0,0,1,1,10,0,9773
860,1,2,122.7,0,136,0,1,1,0,1,1,13.25,0,9119
861,19,38,120,0,133.1,0,12,1,1,0,1,0,0,9147
862,1,19,119.8,0,120,0,39,0,0,1,1,12.14285714,0,9070
863,38,19,122.9,0,133.1,0,1,0,1,0,1,14.5,0,9670
864,1,1,160,1,160,0,39,1,0,0,1,13.5,0,9085
865,1,1,125.2,0,128,1,1,1,0,1,1,15.05555556,1,9500
866,1,38,143.4,0,130,0,3,0,0,1,1,0,0,9119
867,37,38,96.7,0,133.1,1,19,0,0,1,1,0,0,9119
868,19,19,126.9,0,137,0,1,0,0,1,1,12.8,1,9254
869,19,1,143.1,0,163,0,1,0,0,1,1,0,1,171
870,1,1,114.5,0,125,0,1,0,0,1,1,12.5,1,9254
871,34,34,140,0,120,0,1,1,0,1,1,13,0,9119
872,19,19,113.7,0,150,0,1,0,0,1,1,11.58333333,1,9991
874,1,19,143.5,0,148,0,1,0,1,1,1,14.5,1,9003
875,38,38,126.8,0,138,1,1,0,0,1,1,12.23333333,1,9500
876,38,19,115.2,0,119,1,1,0,0,1,1,11,0,9070
877,19,19,100,0,130,1,1,0,0,1,1,0,0,9556
878,19,19,121.4,0,135,0,1,0,0,1,1,11.6,1,9670
879,19,1,120,0,120,0,39,1,0,1,1,12.14285714,0,9070
880,38,38,129.9,0,126,1,1,1,0,1,1,13.2,1,9070
881,3,2,151.1,0,149,0,1,1,0,1,1,0,1,171
882,19,37,120,0,110,0,1,0,1,0,1,0,0,9003
883,37,37,130,0,133.1,0,1,0,1,0,1,11.42857143,0,9003
884,2,38,119,0,127,1,1,1,0,1,0,12.6,1,9500
885,34,34,122,0,120,0,6,1,0,1,0,12.33333333,1,9773
886,38,14,129.7,0,136,0,1,1,0,1,0,13,1,9773
887,37,37,112.5,0,110,1,1,1,0,1,0,11,1,9238
888,19,19,136,0,136,1,1,0,0,1,0,15.35,1,9500
889,38,38,133.1,0,145,1,1,0,0,1,0,11.25,1,9773
890,1,19,151.3,0,159,0,1,1,0,1,0,14.66666667,1,9773
891,37,38,133.3,0,147,0,1,0,0,0,0,0,0,171
892,37,37,130.8,0,150,1,1,1,0,1,0,14.42857143,1,9500
893,37,12,140,0,140,0,3,0,0,0,0,0,0,8014
894,1,1,150,0,150,0,39,1,0,1,0,12.46153846,1,9085
895,1,37,130,0,130,0,39,0,0,0,0,13,0,9991
896,37,37,125.3,0,120,0,1,0,0,1,0,13,1,9773
897,19,37,124,0,130,1,39,1,0,1,0,12.54545455,1,9070
899,19,19,124.4,0,128,1,1,0,0,1,0,14,1,9670
900,19,19,107.7,0,114,0,1,0,0,1,0,14,0,9147
901,38,38,110,0,118,1,1,0,0,1,0,11.2,1,9238
902,37,38,130,0,130,0,3,1,0,1,0,12.8875,1,9500
903,37,1,138.8,0,145,1,1,1,0,1,0,12.95,1,9500
904,19,19,126.3,0,121,0,1,1,0,1,0,0,0,9147
905,1,1,114.5,0,114,1,1,1,0,1,0,12.55,1,9500
906,1,1,116.5,0,127,0,1,1,0,1,0,0,0,9670
907,19,38,128.6,0,145,1,1,1,0,1,0,11,1,9238
909,38,19,134.6,0,150,0,1,0,0,1,0,0,0,171
910,37,37,146.8,0,145,0,1,0,0,1,0,13.33333333,1,9853
911,19,1,135.7,0,128,0,1,1,0,1,0,13.4,1,9085
912,37,37,120,0,140,0,1,0,0,0,0,11,0,9991
913,37,37,138,0,130,0,1,0,0,1,0,12,1,8014
914,37,37,135.5,0,140,0,1,0,0,1,0,0,0,9500
915,19,19,120,0,120,0,1,1,0,1,0,13.66666667,1,9773
916,34,34,111.7,0,147,0,1,1,0,1,0,0,0,9991
917,37,37,100,0,133.1,0,9,1,0,1,0,0,0,8014
918,37,38,160,0,160,0,39,0,0,1,0,15,1,9003
919,37,1,114.8,0,133.1,1,1,0,0,1,0,12.33333333,1,8014
920,37,37,131,0,140,1,19,0,0,1,0,10.4,1,8014
921,37,37,97,0,133.1,1,1,0,0,1,0,11.5,1,8014
922,1,3,131.7,0,131,0,1,1,0,1,0,12.25,0,9238
923,37,37,120,0,133.1,1,19,0,0,0,0,10.5,0,9500
925,37,37,133,0,130,1,1,1,0,1,0,13.7,1,9500
926,19,20,140,0,140,0,3,1,0,1,0,0,0,9085
929,19,37,137,0,133.1,0,1,1,0,1,0,0,0,9238
931,19,38,108,0,115,1,1,0,0,1,0,13.28571429,1,9853
932,37,37,110,0,110,0,3,0,0,1,0,15.11111111,1,9670
933,37,37,127.7,0,140,0,1,1,0,1,0,11.5,0,9147
935,1,1,140.1,0,145,0,1,1,0,1,0,14.33333333,1,171
936,38,38,114.8,0,133.1,0,19,0,0,1,0,10,0,9500
939,37,37,110,0,133.1,0,19,0,0,0,0,11,0,8014
940,19,19,105.5,0,110,0,1,1,0,1,0,12.4,1,9773
941,37,19,127.3,0,128,1,1,1,0,1,0,12.28571429,1,9238
943,1,19,130,0,130,0,3,0,0,1,0,0,0,9085
944,37,37,122.7,0,137,1,1,1,0,1,0,16.075,1,9556
945,37,37,113.9,0,123,0,1,1,0,1,0,12.66666667,1,9254
946,3,19,151.1,0,156,0,1,0,1,1,1,12.83333333,1,9147
947,3,5,125.8,0,133.1,1,1,1,0,0,1,0,0,9773
948,34,34,128.2,0,100,0,1,0,0,1,1,11.5,1,9670
949,37,3,135.1,0,140,0,1,0,0,1,1,0,0,9147
950,37,37,120.2,0,130,0,1,1,0,1,1,11.6,1,9991
951,37,37,132.8,0,133.1,0,1,0,1,0,1,0,0,9991
952,1,19,140,0,140,0,39,0,0,1,1,12.66666667,1,9003
953,19,1,129.3,0,137,0,1,0,0,1,0,0,0,9500
954,3,1,108.2,0,120,0,1,1,0,1,1,12,0,9119
955,1,1,125.4,0,125,0,1,1,0,1,1,11,0,9670
956,19,37,140.2,0,130,1,1,0,0,1,1,11.66666667,1,9773
957,38,1,116.1,0,115,0,1,1,0,1,1,13,1,9773
958,1,19,137.8,0,150,1,1,1,0,1,1,12.66666667,1,9147
959,14,11,128.4,0,134,0,1,1,0,0,1,0,0,9670
960,34,34,106,0,120,0,1,1,0,0,1,11.5,0,9670
961,37,37,130.2,0,141,0,1,0,0,1,1,13.64285714,1,9147
962,3,1,126,0,133,0,1,0,0,1,1,13.2,1,9130
964,1,3,113,0,121,1,1,1,0,1,1,10.2,1,9773
965,4,1,120,0,120,0,39,0,0,1,1,12.4,1,9003
966,19,37,130.9,0,148,0,1,0,0,0,1,0,0,9991
967,37,19,120,0,133.1,0,12,0,0,1,1,0,0,9003
968,34,34,134.1,0,135,0,1,1,0,0,1,0,0,9991
970,34,34,114.8,0,130,0,1,0,0,1,1,14.75,1,9670
